Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
97,Random,30.0%,ml,0.10,23,21.66,Yes
97,Random,30.0%,ml_dynamic,0.00,50,19.24,Yes
98,Random,26.5%,ml,0.20,8,7.00,Yes
98,Random,26.5%,ml_dynamic,0.10,16,11.00,Yes
99,Random,29.5%,ml,0.30,250,0,No
99,Random,29.5%,ml_dynamic,0.10,29,20.66,Yes
100,Random,25.3%,ml,0.10,29,17.66,Yes
100,Random,25.3%,ml_dynamic,0.10,16,11.41,Yes
101,Random,25.5%,ml,0.10,12,11.83,Yes
101,Random,25.5%,ml_dynamic,0.00,14,10.83,Yes
102,Random,32.5%,ml,0.10,39,15.83,Yes
102,Random,32.5%,ml_dynamic,0.10,28,18.24,Yes
103,Random,30.3%,ml,0.40,256,0,No
103,Random,30.3%,ml_dynamic,0.10,1,0,No
104,Random,31.3%,ml,0.50,54,17.41,Yes
104,Random,31.3%,ml_dynamic,0.20,17,15.66,Yes
105,Random,30.3%,ml,0.30,69,19.07,Yes
105,Random,30.3%,ml_dynamic,0.20,3,0,No
106,Random,28.7%,ml,0.50,133,25.07,Yes
106,Random,28.7%,ml_dynamic,0.10,21,9.83,Yes
107,Random,29.8%,ml,0.40,122,36.24,Yes
107,Random,29.8%,ml_dynamic,0.20,10,10.66,Yes
108,Random,28.2%,ml,0.20,34,20.24,Yes
108,Random,28.2%,ml_dynamic,0.20,16,10.41,Yes
109,Random,29.0%,ml,0.40,134,34.90,Yes
109,Random,29.0%,ml_dynamic,0.20,79,21.90,Yes
110,Random,35.3%,ml,0.30,20,16.41,Yes
110,Random,35.3%,ml_dynamic,0.30,73,24.66,Yes
111,Random,27.0%,ml,0.20,21,15.24,Yes
111,Random,27.0%,ml_dynamic,0.10,25,18.83,Yes
112,Random,28.0%,ml,0.30,25,20.73,Yes
112,Random,28.0%,ml_dynamic,0.20,14,14.07,Yes
113,Random,34.5%,ml,0.80,204,0,No
113,Random,34.5%,ml_dynamic,0.10,36,29.90,Yes
114,Random,28.5%,ml,0.30,18,15.83,Yes
114,Random,28.5%,ml_dynamic,0.10,12,13.49,Yes
115,Random,31.0%,ml,0.50,37,15.83,Yes
115,Random,31.0%,ml_dynamic,0.20,34,17.24,Yes
116,Random,26.5%,ml,0.30,19,11.41,Yes
116,Random,26.5%,ml_dynamic,0.20,18,0,No
117,Random,37.3%,ml,0.40,159,0,No
117,Random,37.3%,ml_dynamic,0.20,18,11.41,Yes
118,Random,28.5%,ml,0.50,241,0,No
118,Random,28.5%,ml_dynamic,0.20,33,20.41,Yes
119,Random,29.8%,ml,0.40,145,22.41,Yes
119,Random,29.8%,ml_dynamic,0.40,9,8.83,Yes
120,Random,33.0%,ml,0.20,21,11.24,Yes
120,Random,33.0%,ml_dynamic,0.20,31,14.83,Yes
121,Random,38.0%,ml,0.20,71,31.07,Yes
121,Random,38.0%,ml_dynamic,0.10,83,42.49,Yes
122,Random,42.0%,ml,0.20,100,0,No
122,Random,42.0%,ml_dynamic,0.10,4,0,No
123,Random,38.3%,ml,0.10,8,0,No
123,Random,38.3%,ml_dynamic,0.40,87,27.66,Yes
124,Random,36.5%,ml,0.30,56,23.24,Yes
124,Random,36.5%,ml_dynamic,0.20,64,26.41,Yes
125,Random,39.5%,ml,0.50,175,0,No
125,Random,39.5%,ml_dynamic,0.10,1,0,No
126,Random,39.0%,ml,0.30,4,0,No
126,Random,39.0%,ml_dynamic,0.20,26,12.83,Yes
127,Random,43.3%,ml,0.30,82,0,No
127,Random,43.3%,ml_dynamic,0.10,1,0,No
128,Random,42.8%,ml,0.30,55,31.66,Yes
128,Random,42.8%,ml_dynamic,0.10,18,11.00,Yes
129,Random,38.3%,ml,0.20,119,0,No
129,Random,38.3%,ml_dynamic,0.30,119,0,No
130,Random,39.3%,ml,0.20,40,19.83,Yes
130,Random,39.3%,ml_dynamic,0.10,5,0,No
131,Random,43.0%,ml,0.30,57,0,No
131,Random,43.0%,ml_dynamic,0.20,37,14.41,Yes
132,Random,40.0%,ml,0.20,51,0,No
132,Random,40.0%,ml_dynamic,0.10,36,0,No
133,Random,40.3%,ml,0.50,45,16.41,Yes
133,Random,40.3%,ml_dynamic,0.60,192,0,No
134,Random,41.3%,ml,0.20,26,14.24,Yes
134,Random,41.3%,ml_dynamic,0.20,124,0,No
135,Random,44.8%,ml,0.40,86,0,No
135,Random,44.8%,ml_dynamic,0.10,50,0,No
136,Random,40.8%,ml,0.00,1,0,No
136,Random,40.8%,ml_dynamic,0.10,7,0,No
137,Random,42.5%,ml,0.10,20,0,No
137,Random,42.5%,ml_dynamic,0.00,14,0,No
138,Random,38.3%,ml,0.20,9,0,No
138,Random,38.3%,ml_dynamic,0.20,89,35.49,Yes
139,Random,40.8%,ml,0.20,1,0,No
139,Random,40.8%,ml_dynamic,0.20,50,0,No
140,Random,37.8%,ml,0.30,202,0,No
140,Random,37.8%,ml_dynamic,0.30,41,22.49,Yes
141,Random,39.5%,ml,0.40,21,14.24,Yes
141,Random,39.5%,ml_dynamic,0.10,3,0,No
142,Random,37.3%,ml,0.20,16,9.83,Yes
142,Random,37.3%,ml_dynamic,1.00,41,20.07,Yes
143,Random,37.3%,ml,0.30,22,0,No
143,Random,37.3%,ml_dynamic,0.20,79,0,No
144,Random,40.0%,ml,0.10,81,33.07,Yes
144,Random,40.0%,ml_dynamic,0.40,120,30.07,Yes
145,Random,39.0%,ml,0.30,153,0,No
145,Random,39.0%,ml_dynamic,0.10,5,0,No
146,Random,38.8%,ml,0.20,114,0,No
146,Random,38.8%,ml_dynamic,0.20,114,0,No
147,Random,41.5%,ml,0.50,74,0,No
147,Random,41.5%,ml_dynamic,0.30,74,0,No
148,Random,42.0%,ml,0.50,62,0,No
148,Random,42.0%,ml_dynamic,0.20,62,0,No
149,Random,47.5%,ml,0.50,8,0,No
149,Random,47.5%,ml_dynamic,0.10,24,0,No
150,Random,35.8%,ml,0.50,221,0,No
150,Random,35.8%,ml_dynamic,0.10,3,0,No
151,Random,40.3%,ml,0.40,24,17.00,Yes
151,Random,40.3%,ml_dynamic,0.00,3,0,No
152,Random,41.5%,ml,0.10,3,0,No
152,Random,41.5%,ml_dynamic,0.10,22,0,No
153,Random,41.3%,ml,0.30,94,0,No
153,Random,41.3%,ml_dynamic,0.20,68,0,No
154,Random,36.5%,ml,0.10,41,0,No
154,Random,36.5%,ml_dynamic,0.20,8,0,No
155,Random,40.5%,ml,0.30,47,0,No
155,Random,40.5%,ml_dynamic,0.20,136,0,No
156,Random,38.0%,ml,0.20,46,0,No
156,Random,38.0%,ml_dynamic,0.20,98,0,No
157,Random,37.5%,ml,0.20,5,0,No
157,Random,37.5%,ml_dynamic,0.20,86,0,No
158,Random,44.0%,ml,0.30,139,0,No
158,Random,44.0%,ml_dynamic,0.10,139,0,No
159,Random,42.3%,ml,0.10,9,0,No
159,Random,42.3%,ml_dynamic,0.50,37,0,No
160,Random,38.0%,ml,0.30,25,0,No
160,Random,38.0%,ml_dynamic,0.10,25,0,No
161,Random,39.3%,ml,0.30,19,0,No
161,Random,39.3%,ml_dynamic,0.10,25,0,No
162,Random,40.0%,ml,0.50,122,0,No
162,Random,40.0%,ml_dynamic,0.10,18,13.24,Yes
163,Random,45.5%,ml,0.40,2,0,No
163,Random,45.5%,ml_dynamic,0.10,8,0,No
164,Random,45.5%,ml,0.20,79,0,No
164,Random,45.5%,ml_dynamic,0.10,30,0,No
165,Random,41.8%,ml,0.20,7,0,No
165,Random,41.8%,ml_dynamic,0.30,166,0,No
166,Random,39.3%,ml,0.40,139,0,No
166,Random,39.3%,ml_dynamic,0.20,30,13.24,Yes
167,Random,36.8%,ml,0.30,138,0,No
167,Random,36.8%,ml_dynamic,0.30,78,0,No
168,Random,40.5%,ml,0.10,10,0,No
168,Random,40.5%,ml_dynamic,0.10,25,0,No
169,Random,38.5%,ml,0.30,26,15.24,Yes
169,Random,38.5%,ml_dynamic,0.10,43,19.24,Yes
170,Random,39.0%,ml,0.30,112,0,No
170,Random,39.0%,ml_dynamic,0.10,45,0,No
171,Random,38.3%,ml,0.20,37,19.83,Yes
171,Random,38.3%,ml_dynamic,0.20,82,21.24,Yes
172,Random,36.8%,ml,0.10,46,0,No
172,Random,36.8%,ml_dynamic,0.20,46,0,No
173,Random,40.8%,ml,0.30,8,0,No
173,Random,40.8%,ml_dynamic,0.30,109,0,No
174,Random,39.5%,ml,0.30,86,35.41,Yes
174,Random,39.5%,ml_dynamic,0.20,15,0,No
175,Random,42.3%,ml,0.20,3,0,No
